,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,,
2919,"1409 - 300 Front St W, Toronto (C4396271) | Zoocasa","628,000","688,500",1,1,650,0,,
2920,"1712 - 2000 Islington Ave, Toronto (W4475613) | Zoocasa","1,059,000","1,099,000",3,3,2375,1,,
2922,"72 - 42 Pinery Tr, Toronto (E4484791) | Zoocasa","425,000","399,000",3,2,950,2,,
2923,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
2927,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
2928,"1653 Woodbine Heights Blvd, Toronto (E4484075) | Zoocasa","1,575,000","1,699,000",4,2,N/A ,2,,
2930,"207 - 741 Sheppard Ave W, Toronto (C4459735) | Zoocasa","645,000","648,800",2,2,1100,1,,
2931,"3 Strawflower Mews, Toronto (C4462590) | Zoocasa","1,130,000","1,188,000",3,4,2250,2,,
2935,"616A Caledonia Rd, Toronto (W4473210) | Zoocasa","1,250,000","1,080,000",3,4,2250,1,,
2938,"106 - 15 Windermere Ave, Toronto (W4441949) | Zoocasa","685,000","699,900",3,2,1100,1,,
2939,"262 Euclid Ave, Toronto (C4471978) | Zoocasa","1,115,000","1,199,000",3,2,1750,1,,
2940,"81 Odoardo Di Santo Circ, Toronto (W4462081) | Zoocasa","645,000","659,900",3,3,N/A ,1,,
2944,"402 - 111 Merton St, Toronto (C4484525) | Zoocasa","890,000","889,900",2,2,1100,1,,
2951,"17 Triangle Villas Dr, Toronto (E4480810) | Zoocasa","948,000","799,000",4,3,2250,2,,
2954,"39 Victoria Blvd, Toronto (W4472787) | Zoocasa","705,000","649,000",3,2,N/A ,1,,
2955,"14 Gore St, Toronto (C4490910) | Zoocasa","970,000","899,000",5,2,N/A ,0,,
2957,"270 Woburn Ave, Toronto (C4483411) | Zoocasa","1,357,000","1,299,000",3,3,N/A ,1,,
2958,"210 - 100 Prudential Dr, Toronto (E4440329) | Zoocasa","348,500","368,000",2,1,950,1,,
2960,"7 Shaunavon Heights Cres, Toronto (C4484567) | Zoocasa","903,728","899,900",4,2,1300,4,,
2962,"40 Beaver Ave, Toronto (W4484362) | Zoocasa","952,500","799,900",3,2,N/A ,0,,
2964,"262 Euclid Ave, Toronto (C4471978) | Zoocasa","1,115,000","1,199,000",3,2,1750,1,,
2967,"1219 - 70 Roehampton Ave, Toronto (C4456824) | Zoocasa","828,800","849,000",2,2,850,1,,
2972,"2003 - 151 Village Green Sq, Toronto (E4476609) | Zoocasa","470,000","449,700",2,2,750,1,,
2973,"616A Caledonia Rd, Toronto (W4473210) | Zoocasa","1,250,000","1,080,000",3,4,2250,1,,
2974,"71 South Bonnington Ave, Toronto (E4448721) | Zoocasa","740,000","759,999",4,3,2250,4,,
2975,"127 - 954 King St W, Toronto (C4482842) | Zoocasa","700,000","624,900",2,2,750,1,,
2976,"304 - 88 Sheppard Ave E, Toronto (C4483878) | Zoocasa","548,000","549,000",1,1,550,1,,
2977,"18 Hastings Ave, Toronto (E4481898) | Zoocasa","1,107,000","999,900",3,3,N/A ,1,,
2982,"8 Marlow Ave, Toronto (E4482642) | Zoocasa","1,125,000","899,000",3,2,N/A ,1,,
2983,"131 Aldwych Ave, Toronto (E4474904) | Zoocasa","852,500","859,000",3,2,N/A ,2,,
2985,"3212 - 4978 Yonge St, Toronto (C4483136) | Zoocasa","600,000","560,000",2,1,750,1,,
2988,"2003 - 151 Village Green Sq, Toronto (E4476609) | Zoocasa","470,000","449,700",2,2,750,1,,
2989,"40 Beaver Ave, Toronto (W4484362) | Zoocasa","952,500","799,900",3,2,N/A ,0,,
2991,"310 - 1 Hycrest Ave, Toronto (C4419898) | Zoocasa","630,000","668,000",2,2,1100,1,,
2992,"4011 - 21 Widmer St, Toronto (C4487782) | Zoocasa","975,888","975,000",2,2,850,1,,
2993,"14 Gore St, Toronto (C4490910) | Zoocasa","970,000","899,000",5,2,N/A ,0,,
2998,"105 - 2 Rean Dr, Toronto (C4473260) | Zoocasa","675,000","699,000",2,2,1100,1,,
2999,"15 Roycrest Ave, Toronto (C4460710) | Zoocasa","2,270,000","2,499,900",4,5,4250,4,,
3001,"1503 - 80 John St, Toronto (C4478310) | Zoocasa","980,000","988,880",2,2,1100,1,,
3003,"3503 - 105 The Queensway Ave, Toronto (W4469526) | Zoocasa","815,000","799,888",2,2,950,1,,
3008,"509 - 560 Front St W, Toronto (C4474801) | Zoocasa","525,000","489,000",1,1,550,0,,
3010,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3011,"210 - 1100 Lansdowne Ave, Toronto (W4478552) | Zoocasa","647,000","669,000",2,1,750,1,,
3013,"Th 4 - 41 Spruce St, Toronto (C4481220) | Zoocasa","1,455,000","1,199,900",3,5,2375,1,,
3016,"309 - 106 Dovercourt Rd, Toronto (C4460162) | Zoocasa","590,000","599,999",1,1,550,0,,
3017,"807 - 100 Upper Madison Ave, Toronto (C4466467) | Zoocasa","698,000","699,900",2,2,1300,1,,
3018,"64 Shellamwood Tr, Toronto (E4484581) | Zoocasa","980,000","899,900",5,3,N/A ,2,,
3020,"4011 - 21 Widmer St, Toronto (C4487782) | Zoocasa","975,888","975,000",2,2,850,1,,
3022,"778 Cummer Ave, Toronto (C4472894) | Zoocasa","1,338,000","1,399,000",4,4,N/A ,2,,
3023,"12 - 200 Mclevin Ave, Toronto (E4442563) | Zoocasa","328,500","306,000",2,1,750,1,,
3024,"17 Triangle Villas Dr, Toronto (E4480810) | Zoocasa","948,000","799,000",4,3,2250,2,,
3026,"8 Marlow Ave, Toronto (E4482642) | Zoocasa","1,125,000","899,000",3,2,N/A ,1,,
3027,"15 Roycrest Ave, Toronto (C4460710) | Zoocasa","2,270,000","2,499,900",4,5,4250,4,,
3028,"1503 - 80 John St, Toronto (C4478310) | Zoocasa","980,000","988,880",2,2,1100,1,,
3029,"4011 - 21 Widmer St, Toronto (C4487782) | Zoocasa","975,888","975,000",2,2,850,1,,
3030,"42 Albacore Cres, Toronto (E4490401) | Zoocasa","919,774","939,000",4,2,2250,2,,
3035,"501 - 2756 Old Leslie St, Toronto (C4472276) | Zoocasa","449,000","449,000",1,1,550,1,,
3036,"304 - 88 Sheppard Ave E, Toronto (C4483878) | Zoocasa","548,000","549,000",1,1,550,1,,
3038,"210 - 1100 Lansdowne Ave, Toronto (W4478552) | Zoocasa","647,000","669,000",2,1,750,1,,
3040,"96 Seaton St, Toronto (C4468451) | Zoocasa","1,325,000","1,359,800",3,5,2750,4,,
3042,"Ph11 - 70 Mill St, Toronto (C4468394) | Zoocasa","840,000","859,000",2,3,1100,1,,
3045,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3046,"Th 4 - 41 Spruce St, Toronto (C4481220) | Zoocasa","1,455,000","1,199,900",3,5,2375,1,,
3047,"3212 - 4978 Yonge St, Toronto (C4483136) | Zoocasa","600,000","560,000",2,1,750,1,,
3049,"106 - 15 Windermere Ave, Toronto (W4441949) | Zoocasa","685,000","699,900",3,2,1100,1,,
3058,"71 South Bonnington Ave, Toronto (E4448721) | Zoocasa","740,000","759,999",4,3,2250,4,,
3060,"2003 - 151 Village Green Sq, Toronto (E4476609) | Zoocasa","470,000","449,700",2,2,750,1,,
3061,"15 Roycrest Ave, Toronto (C4460710) | Zoocasa","2,270,000","2,499,900",4,5,4250,4,,
3062,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3063,"56 Major St, Toronto (C4445146) | Zoocasa","2,350,000","2,420,000",4,4,N/A ,2,,
3066,"110 - 66 Douro St, Toronto (C4483070) | Zoocasa","525,000","499,900",1,1,550,1,,
3073,"102 - 3 Duplex Ave, Toronto (C4452354) | Zoocasa","370,000","399,500",1,2,1100,1,,
3075,"28 Bushwood Crt, Toronto (E4476533) | Zoocasa","615,000","639,900",3,2,N/A ,2,,
3079,"19 Holborne Ave, Toronto (E4476544) | Zoocasa","670,000","699,900",2,1,N/A ,1,,
3080,"Ph01 - 77 Lombard St, Toronto (C4473912) | Zoocasa","1,056,500","1,038,000",2,2,950,1,,
3083,"101 - 29 Camden St, Toronto (C4440160) | Zoocasa","1,230,000","1,299,900",2,2,1300,2,,
3084,"504 - 190 St George St, Toronto (C4480332) | Zoocasa","990,000","995,000",2,2,1100,1,,
3087,"107 - 3560 St. Clair Ave E, Toronto (E4431118) | Zoocasa","427,000","484,800",2,2,750,1,,
3089,"7 Roosevelt Rd, Toronto (E4480566) | Zoocasa","978,000","849,900",3,2,N/A ,1,,
3090,"220 Cranbrooke Ave, Toronto (C4446249) | Zoocasa","2,023,284","2,075,000",3,4,2250,3,,
3091,"1808 - 3 Massey Sq, Toronto (E4489293) | Zoocasa","329,900","329,900",1,1,750,1,,
3094,"208 - 5 St Joseph St, Toronto (C4457907) | Zoocasa","512,000","529,000",0,1,550,0,,
3096,"504 - 190 St George St, Toronto (C4480332) | Zoocasa","990,000","995,000",2,2,1100,1,,
3101,"91 Neilson Ave, Toronto (E4451436) | Zoocasa","750,000","800,000",3,1,N/A ,2,,
3103,"15 Culnan Ave, Toronto (W4445335) | Zoocasa","940,000","999,000",3,2,N/A ,2,,
3105,"1607 - 10 Bloorview Pl, Toronto (C4464543) | Zoocasa","670,000","689,000",2,2,950,1,,
3107,"32 Alma Ave, Toronto (C4480404) | Zoocasa","822,000","699,000",4,3,1300,2,,
3109,"418 - 501 St. Clair Ave W, Toronto (C4465734) | Zoocasa","500,000","500,000",1,1,550,0,,
3110,"2 - 10 Carnation Ave, Toronto (W4477249) | Zoocasa","775,000","789,000",3,3,1700,1,,
3113,"707 - 75 East Liberty St, Toronto (C4440602) | Zoocasa","640,000","648,000",2,2,750,1,,
3114,"27 Dalton Rd, Toronto (C4447843) | Zoocasa","2,050,000","2,099,900",6,3,2750,1,,
3117,"111 - 120 Harrison Garden Blvd, Toronto (C4460457) | Zoocasa","620,000","638,000",2,2,750,2,,
3118,"502 - 1 Glen Park Ave, Toronto (C4481314) | Zoocasa","1,551,000","1,349,000",2,3,2125,2,,
3119,"817 - 23 Glebe Rd W, Toronto (C4460876) | Zoocasa","690,000","715,000",2,2,750,1,,
3120,"623 - 120 Dallimore Circ, Toronto (C4459062) | Zoocasa","385,000","399,000",1,1,250,1,,
3121,"815 - 608 Richmond St, Toronto (C4431282) | Zoocasa","670,500","675,000",1,1,650,1,,
3123,"184 Three Valleys Dr, Toronto (C4478389) | Zoocasa","1,090,000","1,180,000",2,2,N/A ,2,,
3125,"504 - 190 St George St, Toronto (C4480332) | Zoocasa","990,000","995,000",2,2,1100,1,,
3129,"707 - 75 East Liberty St, Toronto (C4440602) | Zoocasa","640,000","648,000",2,2,750,1,,
3130,"817 - 10 Bloorview Pl, Toronto (C4448123) | Zoocasa","620,000","630,500",2,2,850,1,,
3132,"220 Cranbrooke Ave, Toronto (C4446249) | Zoocasa","2,023,284","2,075,000",3,4,2250,3,,
3133,"17 Low Meadoway Way, Toronto (C4471932) | Zoocasa","670,000","678,000",3,2,1500,1,,
3134,"10 Stotts Terr, Toronto (E4484372) | Zoocasa","858,600","858,600",4,4,1750,1,,
3139,"19 Holborne Ave, Toronto (E4476544) | Zoocasa","670,000","699,900",2,1,N/A ,1,,
3148,"817 - 10 Bloorview Pl, Toronto (C4448123) | Zoocasa","620,000","630,500",2,2,850,1,,
3149,"93 Peckham Ave, Toronto (C4471220) | Zoocasa","1,200,000","1,338,000",4,3,2750,4,,
3150,"762 Rhodes Ave, Toronto (E4485693) | Zoocasa","1,036,000","879,900",3,2,N/A ,2,,
3152,"4104 - 56 Annie Craig Dr, Toronto (W4440308) | Zoocasa","659,900","668,900",2,2,750,1,,
3154,"705 - 50 Forest Manor Rd, Toronto (C4470110) | Zoocasa","600,000","603,800",2,2,750,1,,
3156,"423 - 9 Boardwalk Dr, Toronto (E4481223) | Zoocasa","728,000","699,999",2,1,850,1,,
3158,"402 - 5229 Dundas St W, Toronto (W4472643) | Zoocasa","472,000","449,000",1,1,750,1,,
3160,"10 Stotts Terr, Toronto (E4484372) | Zoocasa","858,600","858,600",4,4,1750,1,,
3161,"99 Benshire Dr, Toronto (E4481767) | Zoocasa","729,000","689,000",3,2,N/A ,1,,
3162,"114 Harcourt Ave, Toronto (E4481527) | Zoocasa","1,500,000","1,195,000",3,2,N/A ,2,,
3164,"504 - 190 St George St, Toronto (C4480332) | Zoocasa","990,000","995,000",2,2,1100,1,,
3167,"87 Elm Ridge Dr, Toronto (C4472972) | Zoocasa","2,184,000","2,195,000",4,4,N/A ,2,,
3169,"101 - 29 Camden St, Toronto (C4440160) | Zoocasa","1,230,000","1,299,900",2,2,1300,2,,
3170,"87 Elm Ridge Dr, Toronto (C4472972) | Zoocasa","2,184,000","2,195,000",4,4,N/A ,2,,
3171,"48 Nealon Ave, Toronto (E4480624) | Zoocasa","1,320,000","1,185,000",3,2,N/A ,1,,
3172,"182 Fulton Ave, Toronto (E4481634) | Zoocasa","1,450,000","1,289,000",4,2,1750,0,,
3173,"27 Dalton Rd, Toronto (C4447843) | Zoocasa","2,050,000","2,099,900",6,3,2750,1,,
3175,"63 Bluewater Crt, Toronto (W4457468) | Zoocasa","920,000","920,000",3,2,N/A ,1,,
3177,"809 - 38 Elm St, Toronto (C4478740) | Zoocasa","554,750","559,900",1,1,750,1,,
3178,"303 - 30 Fashion Rose Way, Toronto (C4466930) | Zoocasa","442,000","449,900",2,1,850,1,,
3182,"304 - 20 Forest Manor Rd, Toronto (C4456887) | Zoocasa","360,000","379,000",1,1,850,1,,
3183,"504 - 190 St George St, Toronto (C4480332) | Zoocasa","990,000","995,000",2,2,1100,1,,
3184,"107 - 3560 St. Clair Ave E, Toronto (E4431118) | Zoocasa","427,000","484,800",2,2,750,1,,
3188,"Uph5 - 260 Doris Ave, Toronto (C4396940) | Zoocasa","719,000","738,000",2,2,950,1,,
3189,"1005 - 18 Stafford St, Toronto (C4479725) | Zoocasa","627,000","629,000",1,1,750,1,,
3192,"506 - 99 Blackwell Ave, Toronto (E4485850) | Zoocasa","330,000","330,000",2,2,950,1,,
3193,"905 - 2067 Lake Shore Blvd W, Toronto (W4451505) | Zoocasa","650,000","669,999",2,2,1100,1,,
3194,"606 - 140 Bathurst St, Toronto (C4478715) | Zoocasa","652,500","599,000",2,1,850,0,,
3195,"2708 - 70 Distillery Lane, Toronto (C4482725) | Zoocasa","626,000","579,000",1,1,550,1,,
3196,"304 - 20 Forest Manor Rd, Toronto (C4456887) | Zoocasa","360,000","379,000",1,1,850,1,,
3198,"95 Falstaff Ave, Toronto (W4483845) | Zoocasa","1,142,000","1,400,000",3,2,N/A ,8,,
3199,"182 Fulton Ave, Toronto (E4481634) | Zoocasa","1,450,000","1,289,000",4,2,1750,0,,
3201,"48 Nealon Ave, Toronto (E4480624) | Zoocasa","1,320,000","1,185,000",3,2,N/A ,1,,
3202,"382 St Clements Ave, Toronto (C4434065) | Zoocasa","1,600,000","1,600,000",3,1,N/A ,1,,
3205,"402 - 5229 Dundas St W, Toronto (W4472643) | Zoocasa","472,000","449,000",1,1,750,1,,
3208,"28 Bushwood Crt, Toronto (E4476533) | Zoocasa","615,000","639,900",3,2,N/A ,2,,
3209,"423 - 9 Boardwalk Dr, Toronto (E4481223) | Zoocasa","728,000","699,999",2,1,850,1,,
3210,"Uph5 - 260 Doris Ave, Toronto (C4396940) | Zoocasa","719,000","738,000",2,2,950,1,,
3214,"93 Northcote Ave, Toronto (C4481662) | Zoocasa","1,650,000","1,695,000",3,2,1750,2,,
3215,"504 - 190 St George St, Toronto (C4480332) | Zoocasa","990,000","995,000",2,2,1100,1,,
3216,"99 Benshire Dr, Toronto (E4481767) | Zoocasa","729,000","689,000",3,2,N/A ,1,,
3221,"20 Nealon Ave, Toronto (E4476251) | Zoocasa","1,302,000","1,098,800",3,2,N/A ,2,,
3222,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3224,"49 Inlet Mews, Toronto (W4484247) | Zoocasa","542,000","558,000",3,2,1300,1,,
3232,"15 Loire Crt, Toronto (W4485268) | Zoocasa","705,000","699,900",3,3,N/A ,2,,
3233,"T09 - 278 Bloor St E, Toronto (C4481611) | Zoocasa","1,305,000","1,385,000",2,2,1700,1,,
3237,"1 Shudell Ave, Toronto (E4481642) | Zoocasa","1,385,000","1,095,000",3,2,N/A ,1,,
3238,"33 - 33 Wild Gingerway Rd W, Toronto (C4475180) | Zoocasa","840,000","899,000",3,3,1500,1,,
3245,"1411 - 1461 Lawrence Ave W, Toronto (W4437152) | Zoocasa","340,000","368,500",1,1,550,1,,
3247,"2403 - 290 Adelaide St, Toronto (C4475676) | Zoocasa","440,000","449,000",0,1,250,0,,
3248,"475 Runnymede Rd, Toronto (W4481494) | Zoocasa","1,115,000","990,000",4,2,N/A ,1,,
3249,"160 Arlington Ave, Toronto (C4482575) | Zoocasa","1,222,000","1,099,000",4,3,N/A ,1,,
3250,"705 - 4968 Yonge St, Toronto (C4452171) | Zoocasa","459,000","459,000",1,1,550,1,,
3252,"25 Elmont Dr, Toronto (E4473489) | Zoocasa","993,000","999,900",5,3,2250,3,,
3254,"8 - 40 Mendelssohn St, Toronto (E4482647) | Zoocasa","595,000","599,900",2,2,1100,1,,
3255,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3257,"15 Loire Crt, Toronto (W4485268) | Zoocasa","705,000","699,900",3,3,N/A ,2,,
3260,"794 Gladstone Ave, Toronto (W4482667) | Zoocasa","1,230,000","1,199,000",3,1,N/A ,2,,
3261,"20 Nealon Ave, Toronto (E4476251) | Zoocasa","1,302,000","1,098,800",3,2,N/A ,2,,
3263,"1109 - 88 Blue Jays Way, Toronto (C4480048) | Zoocasa","546,000","498,888",1,1,550,0,,
3264,"1411 - 1461 Lawrence Ave W, Toronto (W4437152) | Zoocasa","340,000","368,500",1,1,550,1,,
3265,"502 - 41 Markbrook Lane, Toronto (W4446276) | Zoocasa","390,000","399,999",2,2,1100,1,,
3267,"12 Arden Cres, Toronto (E4442356) | Zoocasa","670,000","748,800",3,1,N/A ,4,,
3268,"1109 - 88 Blue Jays Way, Toronto (C4480048) | Zoocasa","546,000","498,888",1,1,550,0,,
3269,"406 Deloraine Ave, Toronto (C4483080) | Zoocasa","2,040,000","2,188,000",4,4,N/A ,2,,
3271,"57 - 60 Winston Park Blvd, Toronto (W4475821) | Zoocasa","480,000","448,800",2,1,750,1,,
3272,"5 James Stock Path, Toronto (W4479707) | Zoocasa","916,500","799,900",3,3,2125,2,,
3273,"25 Elmont Dr, Toronto (E4473489) | Zoocasa","993,000","999,900",5,3,2250,3,,
3275,"33 Minto St, Toronto (E4488313) | Zoocasa","1,399,000","1,399,900",3,3,1750,1,,
3277,"808 - 15 Merchants' Wharf, Toronto (C4485691) | Zoocasa","554,000","569,900",1,1,550,0,,
3279,"905 - 40 Bay Mills Blvd, Toronto (E4482578) | Zoocasa","366,000","349,000",2,1,950,1,,
3280,"6802 - 100 Harbour St, Toronto (C4467417) | Zoocasa","930,000","948,000",2,2,650,1,,
3285,"794 Gladstone Ave, Toronto (W4482667) | Zoocasa","1,230,000","1,199,000",3,1,N/A ,2,,
3286,"2 Pilot St, Toronto (E4474410) | Zoocasa","575,000","585,000",3,2,N/A ,2,,
3291,"55 Capella Starway, Toronto (C4464732) | Zoocasa","589,000","595,000",3,3,1300,1,,
3293,"794 Gladstone Ave, Toronto (W4482667) | Zoocasa","1,230,000","1,199,000",3,1,N/A ,2,,
3294,"1328 - 2 Eva Rd, Toronto (W4483395) | Zoocasa","485,000","499,900",2,2,750,1,,
3296,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3297,"1411 - 1461 Lawrence Ave W, Toronto (W4437152) | Zoocasa","340,000","368,500",1,1,550,1,,
3300,"57 - 60 Winston Park Blvd, Toronto (W4475821) | Zoocasa","480,000","448,800",2,1,750,1,,
3303,"503 - 716 Kingston Rd, Toronto (E4469021) | Zoocasa","450,000","449,000",2,1,650,1,,
3306,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3309,"54 Lansdowne Ave, Toronto (W4479117) | Zoocasa","1,075,000","899,000",4,3,N/A ,0,,
3315,"49 Inlet Mews, Toronto (W4484247) | Zoocasa","542,000","558,000",3,2,1300,1,,
3316,"605 - 1093 Kingston Rd, Toronto (E4487811) | Zoocasa","566,200","519,000",1,1,750,1,,
3318,"54 Lansdowne Ave, Toronto (W4479117) | Zoocasa","1,075,000","899,000",4,3,N/A ,0,,
3319,"219 - 25 Richgrove Dr, Toronto (W4465183) | Zoocasa","550,000","549,990",2,2,1100,2,,
3320,"2417 - 51 East Liberty St, Toronto (C4421918) | Zoocasa","508,600","514,900",1,1,550,0,,
3321,"T09 - 278 Bloor St E, Toronto (C4481611) | Zoocasa","1,305,000","1,385,000",2,2,1700,1,,
3322,"502 - 41 Markbrook Lane, Toronto (W4446276) | Zoocasa","390,000","399,999",2,2,1100,1,,
3323,"62 Bluewater Crt, Toronto (W4480084) | Zoocasa","975,000","799,000",3,4,1750,1,,
3326,"5 James Stock Path, Toronto (W4479707) | Zoocasa","916,500","799,900",3,3,2125,2,,
3327,"506 - 29 Singer Crt, Toronto (C4479239) | Zoocasa","458,000","399,800",1,1,250,1,,
3329,"1402 - 438 King St W, Toronto (C4469006) | Zoocasa","609,000","619,990",1,1,550,1,,
3335,"57 - 60 Winston Park Blvd, Toronto (W4475821) | Zoocasa","480,000","448,800",2,1,750,1,,
3337,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3338,"27 Sword St, Toronto (C4466641) | Zoocasa","1,775,000","1,735,000",3,2,N/A ,1,,
3339,"188 Martin Grove Rd, Toronto (W4483670) | Zoocasa","810,000","850,000",3,1,900,3,,
3342,"55 Capella Starway, Toronto (C4464732) | Zoocasa","589,000","595,000",3,3,1300,1,,
3343,"794 Gladstone Ave, Toronto (W4482667) | Zoocasa","1,230,000","1,199,000",3,1,N/A ,2,,
3346,"P05 - 66 Forest Rd, Toronto (C4475450) | Zoocasa","468,000","449,888",1,1,550,1,,
3347,"2305 - 2015 Sheppard Ave E, Toronto (C4441859) | Zoocasa","537,250","568,888",2,1,750,1,,
3349,"2006 - 60 Colborne St, Toronto (C4480373) | Zoocasa","610,000","615,000",1,1,550,0,,
3351,"110 Warwood Rd, Toronto (W4484807) | Zoocasa","1,500,000","1,450,000",4,3,N/A ,8,,
3352,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
3353,"2504 - 8 Colborne St, Toronto (C4334368) | Zoocasa","431,000","449,900",1,1,550,0,,
3355,"49 Florence Cres, Toronto (W4470565) | Zoocasa","715,000","699,999",2,2,N/A ,3,,
3357,"1608 - 12 York St, Toronto (C4450404) | Zoocasa","465,000","475,000",0,1,250,0,,
3358,"20 - 1949 Lawrence Ave W, Toronto (W4482910) | Zoocasa","385,000","379,900",1,1,750,1,,
3359,"8 Irmac Crt, Toronto (W4480544) | Zoocasa","980,000","959,000",3,1,1750,3,,
3361,"1608 - 12 York St, Toronto (C4450404) | Zoocasa","465,000","475,000",0,1,250,0,,
3362,"8 Irmac Crt, Toronto (W4480544) | Zoocasa","980,000","959,000",3,1,1750,3,,
3364,"2305 - 2015 Sheppard Ave E, Toronto (C4441859) | Zoocasa","537,250","568,888",2,1,750,1,,
3365,"7 Kilchurn Castle Dr, Toronto (E4411277) | Zoocasa","1,057,000","1,068,000",4,4,N/A ,2,,
3367,"20 - 1949 Lawrence Ave W, Toronto (W4482910) | Zoocasa","385,000","379,900",1,1,750,1,,
3368,"110 Warwood Rd, Toronto (W4484807) | Zoocasa","1,500,000","1,450,000",4,3,N/A ,8,,
3372,"10 Ashridge Dr, Toronto (E4428045) | Zoocasa","790,000","799,000",4,3,N/A ,1,,
3373,"68 Hopedale Ave, Toronto (E4480354) | Zoocasa","1,125,000","1,099,000",3,2,1300,1,,
3374,"1407 - 3 Massey Sq, Toronto (E4456851) | Zoocasa","373,000","385,900",2,1,1100,0,,
3375,"477 Delaware Ave, Toronto (W4480596) | Zoocasa","1,200,000","999,900",5,4,N/A ,1,,
3377,"20 Elway Crt, Toronto (W4477132) | Zoocasa","1,300,000","1,398,000",6,5,N/A ,3,,
3378,"153 Calverley Tr, Toronto (E4480945) | Zoocasa","852,000","799,999",4,3,N/A ,2,,
3379,"321 - 3531 Lake Shore Blvd W, Toronto (W4486528) | Zoocasa","560,000","560,000",2,2,1100,1,,
3380,"306 - 3865 Lake Shore Blvd W, Toronto (W4485576) | Zoocasa","458,000","469,000",1,1,650,1,,
3383,"835 - 1029 King St W, Toronto (C4478550) | Zoocasa","640,000","649,900",1,1,650,2,,
3385,"1708 - 350 Seneca Hill Dr, Toronto (C4456281) | Zoocasa","415,000","429,888",2,1,850,1,,
3387,"28 Tranter Tr, Toronto (E4482810) | Zoocasa","600,000","599,900",2,2,1100,1,,
3389,"2006 - 70 Forest Manor Rd, Toronto (C4479374) | Zoocasa","635,000","650,000",2,2,1100,1,,
3390,"1413 - 763 Bay St, Toronto (C4483729) | Zoocasa","595,000","595,000",1,1,550,0,,
3391,"S330 - 112 George St, Toronto (C4467415) | Zoocasa","585,000","599,900",1,1,650,1,,
3393,"110 Warwood Rd, Toronto (W4484807) | Zoocasa","1,500,000","1,450,000",4,3,N/A ,8,,
3395,"20 Elway Crt, Toronto (W4477132) | Zoocasa","1,300,000","1,398,000",6,5,N/A ,3,,
3396,"1004 - 330 Mccowan Rd, Toronto (E4466722) | Zoocasa","436,500","429,900",2,2,1100,1,,
3398,"404 Glen Park Ave, Toronto (W4412144) | Zoocasa","890,000","999,900",3,2,N/A ,3,,
3399,"68 Hopedale Ave, Toronto (E4480354) | Zoocasa","1,125,000","1,099,000",3,2,1300,1,,
3400,"835 - 1029 King St W, Toronto (C4478550) | Zoocasa","640,000","649,900",1,1,650,2,,
3401,"67 Seaton St, Toronto (C4462295) | Zoocasa","995,000","999,900",3,3,N/A ,2,,
3402,"153 Calverley Tr, Toronto (E4480945) | Zoocasa","852,000","799,999",4,3,N/A ,2,,
3403,"477 Delaware Ave, Toronto (W4480596) | Zoocasa","1,200,000","999,900",5,4,N/A ,1,,
3404,"29 Plaxton Dr, Toronto (E4476677) | Zoocasa","835,000","819,900",3,1,1300,3,,
3406,"4716 - 70 Temperance St, Toronto (C4467313) | Zoocasa","610,000","610,000",1,1,250,0,,
3407,"309 - 32 Stewart St, Toronto (C4484352) | Zoocasa","515,000","499,000",1,1,550,0,,
3410,"1413 - 763 Bay St, Toronto (C4483729) | Zoocasa","595,000","595,000",1,1,550,0,,
3412,"2613 - 210 Victoria St, Toronto (C4469349) | Zoocasa","576,000","579,000",1,2,650,0,,
3415,"404 - 245 Davisville Ave, Toronto (C4483588) | Zoocasa","542,000","499,000",1,1,550,1,,
3416,"92 - 6 Esterbrooke Ave, Toronto (C4479957) | Zoocasa","520,000","530,000",2,2,1100,1,,
3419,"2504 - 75 St Nicholas St, Toronto (C4435660) | Zoocasa","950,000","968,000",2,2,750,1,,
3420,"1 - 2716 St Clair Ave E, Toronto (E4464393) | Zoocasa","625,000","649,000",3,2,1500,1,,
3422,"2722 - 25 The Esplanade, Toronto (C4465077) | Zoocasa","628,000","649,900",1,1,850,0,,
3424,"204 - 81A Front St E, Toronto (C4479733) | Zoocasa","661,800","658,800",1,1,650,0,,
3427,"69 Thirty Eighth St, Toronto (W4484395) | Zoocasa","1,030,000","1,069,888",3,2,N/A ,2,,
3428,"303 - 11 Fontenay Crt, Toronto (W4484411) | Zoocasa","360,500","339,900",2,1,1100,1,,
3430,"264 Beta St, Toronto (W4486290) | Zoocasa","1,065,000","899,900",2,1,N/A ,6,,
