,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,,
107,"4805 - 100 Harbour St, Toronto (C4496638) | Zoocasa","630,000","635,000",1,1,650,0,,
109,"1203 - 25 Oxley St, Toronto (C4520416) | Zoocasa","627,500","619,000",1,1,650,0,,
110,"108 - 10 Walker Ave, Toronto (C4510617) | Zoocasa","1,420,000","1,395,000",3,2,2125,2,,
113,"131 Palmerston Ave, Toronto (C4496218) | Zoocasa","1,240,000","1,249,000",3,2,1750,0,,
117,"737 Craven Rd, Toronto (E4488096) | Zoocasa","570,000","629,900",1,1,N/A ,0,,
118,"3605 - 8 York St, Toronto (C4522126) | Zoocasa","580,000","578,000",1,1,650,0,,
120,"907 - 120 Homewood Ave, Toronto (C4472246) | Zoocasa","725,500","719,000",2,2,850,1,,
124,"45 Tullis Dr, Toronto (C4514675) | Zoocasa","1,600,100","1,650,000",4,3,N/A ,2,,
125,"Lph02 - 352 Front St, Toronto (C4515327) | Zoocasa","760,000","768,000",2,1,750,1,,
126,"88 Somerset Ave, Toronto (C4509916) | Zoocasa","1,050,000","999,000",3,3,N/A ,2,,
128,"902 - 39 Sherbourne St, Toronto (C4511137) | Zoocasa","510,000","529,000",1,1,550,0,,
130,"19 Stavely Ave, Toronto (E4497288) | Zoocasa","680,000","698,000",3,1,N/A ,3,,
132,"1011 - 8 Mondeo Dr, Toronto (E4503146) | Zoocasa","368,000","378,000",1,1,650,1,,
133,"297 Kane Ave, Toronto (W4513752) | Zoocasa","704,000","639,900",2,3,N/A ,1,,
134,"350 Melita Ave, Toronto (C4514051) | Zoocasa","901,000","799,000",3,2,N/A ,1,,
135,"10 Baytree Cres, Toronto (C4468456) | Zoocasa","4,690,000","5,095,000",5,6,N/A ,10,,
137,"1901E - 36 Lisgar St, Toronto (C4507524) | Zoocasa","408,000","374,888",1,1,250,0,,
139,"1127 Finch Ave E, Toronto (C4487152) | Zoocasa","598,000","608,000",3,4,1100,1,,
144,"45 Tullis Dr, Toronto (C4514675) | Zoocasa","1,600,100","1,650,000",4,3,N/A ,2,,
147,"208 - 3091 Dufferin St, Toronto (W4488444) | Zoocasa","499,900","465,900",1,1,550,0,,
148,"4902 - 88 Harbour St, Toronto (C4482858) | Zoocasa","540,000","550,000",1,1,250,0,,
149,"15 Shadowbrook Dr, Toronto (W4500593) | Zoocasa","865,000","899,000",3,2,1300,3,,
151,"88 Somerset Ave, Toronto (C4509916) | Zoocasa","1,050,000","999,000",3,3,N/A ,2,,
154,"1904 - 380 Dixon Rd, Toronto (W4496946) | Zoocasa","340,000","358,000",3,2,1100,1,,
157,"1011 - 8 Mondeo Dr, Toronto (E4503146) | Zoocasa","368,000","378,000",1,1,650,1,,
159,"1705 - 5 Old Sheppard Ave, Toronto (C4495447) | Zoocasa","450,017","399,900",3,2,1100,2,,
161,"2301 - 3 Rean Dr, Toronto (C4495598) | Zoocasa","665,000","679,000",2,2,950,2,,
162,"1908 - 8 The Esplanade Ave, Toronto (C4495663) | Zoocasa","680,000","650,000",1,1,650,0,,
163,"Lph02 - 352 Front St, Toronto (C4515327) | Zoocasa","760,000","768,000",2,1,750,1,,
164,"315 - 228 Queens Quay W, Toronto (C4519079) | Zoocasa","547,000","548,800",1,1,550,0,,
165,"701 - 1040 The Queensway, Toronto (W4519758) | Zoocasa","430,000","369,900",1,1,550,1,,
167,"902 - 39 Sherbourne St, Toronto (C4511137) | Zoocasa","510,000","529,000",1,1,550,0,,
169,"903 - 80 Western Battery Rd, Toronto (C4515182) | Zoocasa","645,000","650,000",2,1,750,1,,
171,"104 - 630 Kingston Rd, Toronto (E4514921) | Zoocasa","470,500","399,900",1,1,550,1,,
172,"47 Fieldside Dr, Toronto (E4519828) | Zoocasa","740,000","599,000",3,4,N/A ,5,,
